"contig","gene_name","Entrez_id","pN_mc","pS_mc","pN_pipra","pS_pipra","pN_all","pS_all","dN_orig","dS_orig","pN","pS","dN","dS","pN.pS","dN.dS","alpha","NeutralityIndex","fisher.test.P","fisher.test.Padj"
"NW_021939798.1","ELAC2","103766643",2,1,0,0,0,0,8,3,2,1,8,3,2,2.66666666666667,0.25,0.75,1,1
"NW_021939798.1","DNAH9","103766658",27,33,5,11,0,0,29,43,32,44,29,43,0.727272727272727,0.674418604651163,-0.0783699059561129,1.07836990595611,0.868186867865162,1
"NW_021939798.1","SHISA6","103766660",1,4,0,1,0,0,0,0,1,5,0,0,0.2,NA,NA,NA,NA,NA
"NW_021939798.1","PIRT","103763974",0,1,0,0,0,0,5,1,0,1,5,1,0,5,1,0,0.285714285714286,1
"NW_021939798.1","NDEL1","103763973",0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021939798.1","MYH10","103763977",2,20,1,3,0,0,0,22,3,23,0,22,0.130434782608696,0,-Inf,Inf,0.23936170212766,1
"NW_021939798.1","STX8","103755243",0,2,0,0,0,0,0,3,0,2,0,3,0,0,NA,NA,NA,NA
"NW_021939798.1","NTN1","103755244",0,6,0,1,0,0,0,4,0,7,0,4,0,0,NA,NA,NA,NA
"NW_021939798.1","PIK3R5","103755245",9,16,2,3,0,1,1,5,11,20,1,5,0.55,0.2,-1.75,2.75,0.640869861458097,1
"NW_021939798.1","PIK3R6","103755246",11,12,6,2,0,0,4,1,17,14,4,1,1.21428571428571,4,0.696428571428571,0.303571428571429,0.376114081996435,1
"NW_021939798.1","CCDC42","103755249",1,3,1,2,0,0,6,6,2,5,6,6,0.4,1,0.6,0.4,0.633246010954989,1
"NW_021939798.1","LOC103755242","103755242",9,8,1,4,0,1,3,3,10,13,3,3,0.769230769230769,1,0.230769230769231,0.769230769230769,1,1
"NW_021939798.1","CFAP52","108639758",8,2,0,1,0,0,3,2,8,3,3,2,2.66666666666667,1.5,-0.777777777777778,1.77777777777778,1,1
"NW_021939798.1","ARHGAP44","103755241",5,5,0,0,0,2,1,1,5,7,1,1,0.714285714285714,1,0.285714285714286,0.714285714285714,1,1
"NW_021939798.1","LOC115307502","115307502",0,1,0,0,0,0,1,2,0,1,1,2,0,0.5,1,0,1,1
"NW_021939798.1","CDRT1","103755239",16,9,2,1,1,0,13,10,19,10,13,10,1.9,1.3,-0.461538461538461,1.46153846153846,0.573649577077004,1
"NW_021939798.1","LOC103755238","103755238",0,0,0,0,0,0,2,1,0,0,2,1,NA,2,NA,NA,NA,NA
"NW_021939798.1","CDRT4","108639794",1,4,0,1,0,0,1,1,1,5,1,1,0.2,1,0.8,0.2,0.464285714285714,1
"NW_021939798.1","TEKT3","103755236",0,9,0,2,0,1,0,9,0,12,0,9,0,0,NA,NA,NA,NA
"NW_021939798.1","PMP22","103755237",0,1,0,0,0,0,0,3,0,1,0,3,0,0,NA,NA,NA,NA
"NW_021939798.1","LOC103755234","103755234",2,3,1,1,0,0,2,6,3,4,2,6,0.75,0.333333333333333,-1.25,2.25,0.608391608391608,1
"NW_021939798.1","LOC115307503","115307503",3,0,1,0,0,0,3,1,4,0,3,1,Inf,3,-Inf,Inf,1,1
"NW_021939798.1","METRNL","103756119",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021939798.1","B3GNTL1","103756120",0,1,0,2,0,1,1,2,0,4,1,2,0,0.5,1,0,0.428571428571428,1
"NW_021939798.1","TBCD","103756111",6,8,0,3,0,0,4,9,6,11,4,9,0.545454545454545,0.444444444444444,-0.227272727272727,1.22727272727273,1,1
"NW_021939798.1","ZNF750","103756110",6,10,0,4,0,0,6,12,6,14,6,12,0.428571428571429,0.5,0.142857142857143,0.857142857142857,1,1
"NW_021939798.1","FN3K","103756112",0,5,0,0,0,0,3,9,0,5,3,9,0,0.333333333333333,1,0,0.514705882352941,1
"NW_021939798.1","WDR45B","103756113",1,2,0,1,0,0,0,2,1,3,0,2,0.333333333333333,0,-Inf,Inf,1,1
"NW_021939798.1","FOXK2","103756115",2,6,0,1,0,0,1,6,2,7,1,6,0.285714285714286,0.166666666666667,-0.714285714285714,1.71428571428571,1,1
"NW_021939798.1","LOC108639799","108639799",1,4,2,2,0,0,3,7,3,6,3,7,0.5,0.428571428571429,-0.166666666666667,1.16666666666667,1,1
"NW_021939798.1","LOC103756116","103756116",1,2,1,0,0,0,1,2,2,2,1,2,1,0.5,-1,2,1,1
"NW_021939798.1","LOC103756117","103756117",0,2,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","HEXD","103756121",8,1,1,1,0,0,2,1,9,2,2,1,4.5,2,-1.25,2.25,1,1
"NW_021939798.1","OGFOD3","103756122",5,11,0,2,0,0,3,1,5,13,3,1,0.384615384615385,3,0.871794871794872,0.128205128205128,0.116746411483254,1
"NW_021939798.1","LOC103756123","103756123",0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021939798.1","LOC103756124","103756124",0,4,0,1,0,0,1,3,0,5,1,3,0,0.333333333333333,1,0,0.444444444444444,1
"NW_021939798.1","LOC108639785","108639785",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021939798.1","CD7","108639787",4,1,0,0,1,0,4,1,5,1,4,1,5,4,-0.25,1.25,1,1
"NW_021939798.1","SEPTIN9","103756126",2,8,0,1,0,0,1,9,2,9,1,9,0.222222222222222,0.111111111111111,-1,2,1,1
"NW_021939798.1","TNRC6C","103761289",1,11,1,1,0,0,3,6,2,12,3,6,0.166666666666667,0.5,0.666666666666667,0.333333333333333,0.342833368004993,1
"NW_021939798.1","SEC14L1","103761290",0,4,0,1,0,0,1,4,0,5,1,4,0,0.25,1,0,1,1
"NW_021939798.1","MGAT5B","103761310",1,7,1,6,0,0,2,3,2,13,2,3,0.153846153846154,0.666666666666667,0.769230769230769,0.230769230769231,0.248710010319917,1
"NW_021939798.1","MFSD11","103761291",2,4,2,0,0,0,2,0,4,4,2,0,1,Inf,1,0,0.466666666666667,1
"NW_021939798.1","METTL23","103761311",1,3,0,0,0,0,2,1,1,3,2,1,0.333333333333333,2,0.833333333333333,0.166666666666667,0.485714285714286,1
"NW_021939798.1","JMJD6","103761312",0,3,0,0,0,0,0,4,0,3,0,4,0,0,NA,NA,NA,NA
"NW_021939798.1","MXRA7","103761313",1,3,0,1,0,0,0,0,1,4,0,0,0.25,NA,NA,NA,NA,NA
"NW_021939798.1","ST6GALNAC1","103761314",7,4,1,3,0,0,12,4,8,7,12,4,1.14285714285714,3,0.619047619047619,0.380952380952381,0.273369766729538,1
"NW_021939798.1","ST6GALNAC2","103761315",5,4,0,4,0,0,3,6,5,8,3,6,0.625,0.5,-0.25,1.25,1,1
"NW_021939798.1","CYGB","103761293",1,3,0,0,0,0,1,0,1,3,1,0,0.333333333333333,Inf,1,0,0.4,1
"NW_021939798.1","RHBDF2","103761294",2,17,0,5,0,1,1,5,2,23,1,5,0.0869565217391304,0.2,0.565217391304348,0.434782608695652,0.488320355951057,1
"NW_021939798.1","AANAT","103761316",0,6,0,3,0,0,1,4,0,9,1,4,0,0.25,1,0,0.357142857142857,1
"NW_021939798.1","UBE2O","103761317",4,11,1,2,0,0,3,12,5,13,3,12,0.384615384615385,0.25,-0.538461538461539,1.53846153846154,0.699160683587825,1
"NW_021939798.1","SPHK1","115307516",4,10,0,1,0,0,2,6,4,11,2,6,0.363636363636364,0.333333333333333,-0.0909090909090908,1.09090909090909,1,1
"NW_021939798.1","PRPSAP1","103761295",0,8,0,0,0,0,1,3,0,8,1,3,0,0.333333333333333,1,0,0.333333333333333,1
"NW_021939798.1","LOC108639760","108639760",2,0,7,2,0,0,13,7,9,2,13,7,4.5,1.85714285714286,-1.42307692307692,2.42307692307692,0.428984267171625,1
"NW_021939798.1","LOC108639796","108639796",0,3,0,1,0,0,2,2,0,4,2,2,0,1,1,0,0.428571428571429,1
"NW_021939798.1","RNF157","103761319",1,8,0,2,0,0,3,8,1,10,3,8,0.1,0.375,0.733333333333333,0.266666666666667,0.586466165413534,1
"NW_021939798.1","FOXJ1","103761297",4,7,0,1,0,0,6,3,4,8,6,3,0.5,2,0.75,0.25,0.198380566801619,1
"NW_021939798.1","EXOC7","103761298",1,14,0,3,0,0,0,5,1,17,0,5,0.0588235294117647,0,-Inf,Inf,1,1
"NW_021939798.1","GALR2","103761299",0,5,0,0,0,0,1,4,0,5,1,4,0,0.25,1,0,1,1
"NW_021939798.1","SRP68","103761301",0,4,0,2,0,0,0,3,0,6,0,3,0,0,NA,NA,NA,NA
"NW_021939798.1","EVPL","103761302",9,15,0,10,0,1,6,14,9,26,6,14,0.346153846153846,0.428571428571429,0.192307692307692,0.807692307692308,0.760816253365751,1
"NW_021939798.1","CDK3","103761303",1,5,0,0,0,0,0,5,1,5,0,5,0.2,0,-Inf,Inf,1,1
"NW_021939798.1","TEN1","103761304",4,8,1,3,0,0,1,1,5,11,1,1,0.454545454545455,1,0.545454545454545,0.454545454545455,1,1
"NW_021939798.1","ACOX1","103761321",3,11,0,7,1,0,2,4,4,18,2,4,0.222222222222222,0.5,0.555555555555556,0.444444444444444,0.580602006688963,1
"NW_021939798.1","MRPL38","103761305",4,5,1,3,0,0,5,4,5,8,5,4,0.625,1.25,0.5,0.5,0.665634674922601,1
"NW_021939798.1","TRIM47","103761322",9,10,5,5,0,0,13,12,14,15,13,12,0.933333333333333,1.08333333333333,0.138461538461538,0.861538461538461,1,1
"NW_021939798.1","WBP2","103761306",2,1,0,1,0,0,0,1,2,2,0,1,1,0,-Inf,Inf,1,1
"NW_021939798.1","UNC13D","103761324",7,24,1,5,0,1,4,7,8,30,4,7,0.266666666666667,0.571428571428571,0.533333333333333,0.466666666666667,0.426673142226189,1
"NW_021939798.1","UNK","103761325",5,1,0,1,0,0,1,8,5,2,1,8,2.5,0.125,-19,20,0.034965034965035,1
"NW_021939798.1","LOC108644078","108644078",11,6,0,3,0,0,1,3,11,9,1,3,1.22222222222222,0.333333333333333,-2.66666666666667,3.66666666666667,0.590062111801242,1
"NW_021939798.1","GALK1","103761327",5,6,2,3,0,0,1,3,7,9,1,3,0.777777777777778,0.333333333333333,-1.33333333333333,2.33333333333333,0.618575851393189,1
"NW_021939798.1","ITGB4","103761328",10,28,2,6,0,0,6,22,12,34,6,22,0.352941176470588,0.272727272727273,-0.294117647058824,1.29411764705882,0.782626299678804,1
"NW_021939798.1","SAP30BP","103761329",0,2,0,1,0,0,1,0,0,3,1,0,0,Inf,1,0,0.25,1
"NW_021939798.1","RECQL5","103761307",16,9,2,2,0,0,8,13,18,11,8,13,1.63636363636364,0.615384615384615,-1.65909090909091,2.65909090909091,0.151342756315094,1
"NW_021939798.1","SMIM5","103761308",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","MYO15B","108639761",30,34,9,12,0,0,42,25,39,46,42,25,0.847826086956522,1.68,0.495341614906832,0.504658385093168,0.0495721595048104,1
"NW_021939798.1","LLGL2","103760421",2,8,1,4,0,1,2,11,3,13,2,11,0.230769230769231,0.181818181818182,-0.269230769230769,1.26923076923077,1,1
"NW_021939798.1","TSEN54","108639762",3,7,3,4,0,0,2,1,6,11,2,1,0.545454545454545,2,0.727272727272727,0.272727272727273,0.536842105263158,1
"NW_021939798.1","MCHR1","103760452",4,2,0,2,0,0,2,5,4,4,2,5,1,0.4,-1.5,2.5,0.608391608391608,1
"NW_021939798.1","CASKIN2","103760453",10,37,0,13,0,0,4,23,10,50,4,23,0.2,0.173913043478261,-0.15,1.15,1,1
"NW_021939798.1","TMEM94","103760454",2,10,0,7,0,0,2,10,2,17,2,10,0.117647058823529,0.2,0.411764705882353,0.588235294117647,0.63044652788813,1
"NW_021939798.1","GRB2","103760422",0,2,0,1,0,0,0,2,0,3,0,2,0,0,NA,NA,NA,NA
"NW_021939798.1","SLC25A19","103760423",2,6,0,0,0,0,0,6,2,6,0,6,0.333333333333333,0,-Inf,Inf,0.472527472527472,1
"NW_021939798.1","MIF4GD","103760424",0,6,0,1,0,0,0,2,0,7,0,2,0,0,NA,NA,NA,NA
"NW_021939798.1","MRPS7","103760425",1,2,0,0,0,0,6,1,1,2,6,1,0.5,6,0.916666666666667,0.0833333333333333,0.183333333333333,1
"NW_021939798.1","GGA3","103760426",6,6,0,3,0,0,2,7,6,9,2,7,0.666666666666667,0.285714285714286,-1.33333333333333,2.33333333333333,0.657019787319962,1
"NW_021939798.1","NUP85","103760455",1,3,0,1,0,0,6,6,1,4,6,6,0.25,1,0.75,0.25,0.338235294117647,1
"NW_021939798.1","SUMO2","103760456",0,2,0,0,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","JPT1","103760427",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","NT5C","108639809",2,2,0,0,0,0,2,0,2,2,2,0,1,Inf,1,0,0.466666666666667,1
"NW_021939798.1","ARMC7","108639810",0,1,0,0,0,0,2,2,0,1,2,2,0,1,1,0,1,1
"NW_021939798.1","SLC16A5","103760429",1,4,3,2,0,0,2,3,4,6,2,3,0.666666666666667,0.666666666666667,0,1,1,1
"NW_021939798.1","KCTD2","103760459",0,4,0,0,0,1,0,1,0,5,0,1,0,0,NA,NA,NA,NA
"NW_021939798.1","ATP5PD","103760431",1,3,0,0,0,0,2,1,1,3,2,1,0.333333333333333,2,0.833333333333333,0.166666666666667,0.485714285714286,1
"NW_021939798.1","LOC103760460","103760460",2,5,0,2,0,0,6,5,2,7,6,5,0.285714285714286,1.2,0.761904761904762,0.238095238095238,0.196808763991426,1
"NW_021939798.1","MRPL58","103760461",0,1,0,0,0,0,0,2,0,1,0,2,0,0,NA,NA,NA,NA
"NW_021939798.1","CDR2L","103760432",2,3,0,1,0,0,0,1,2,4,0,1,0.5,0,-Inf,Inf,1,1
"NW_021939798.1","HID1","103760462",1,8,0,3,0,0,1,1,1,11,1,1,0.0909090909090909,1,0.909090909090909,0.0909090909090909,0.274725274725275,1
"NW_021939798.1","OTOP3","103760433",3,13,0,0,0,1,7,5,3,14,7,5,0.214285714285714,1.4,0.846938775510204,0.153061224489796,0.0459737164384841,1
"NW_021939798.1","OTOP2","103760434",1,5,0,5,0,0,1,2,1,10,1,2,0.1,0.5,0.8,0.2,0.395604395604396,1
"NW_021939798.1","USH1G","103760463",5,15,1,1,0,0,0,3,6,16,0,3,0.375,0,-Inf,Inf,0.553913043478261,1
"NW_021939798.1","FADS6","103760464",6,4,0,3,0,0,4,5,6,7,4,5,0.857142857142857,0.8,-0.0714285714285714,1.07142857142857,1,1
"NW_021939798.1","FDXR","103760465",7,14,1,4,0,1,1,3,8,19,1,3,0.421052631578947,0.333333333333333,-0.263157894736842,1.26315789473684,1,1
"NW_021939798.1","GRIN2C","103760466",1,16,0,2,0,1,1,2,1,19,1,2,0.0526315789473684,0.5,0.894736842105263,0.105263157894737,0.24901185770751,1
"NW_021939798.1","TMEM104","103760435",0,5,0,1,0,1,0,3,0,7,0,3,0,0,NA,NA,NA,NA
"NW_021939798.1","NAT9","103760436",1,3,0,1,0,0,4,4,1,4,4,4,0.25,1,0.75,0.25,0.564879564879565,1
"NW_021939798.1","SLC9A3R1","103760467",1,6,0,0,0,0,0,1,1,6,0,1,0.166666666666667,0,-Inf,Inf,1,1
"NW_021939798.1","RAB37","103760469",3,0,0,1,0,0,2,7,3,1,2,7,3,0.285714285714286,-9.5,10.5,0.216783216783217,1
"NW_021939798.1","LOC115307505","115307505",0,2,1,1,0,1,3,3,1,4,3,3,0.25,1,0.75,0.25,0.545454545454546,1
"NW_021939798.1","LOC108639763","108639763",4,0,1,2,0,0,2,0,5,2,2,0,2.5,Inf,1,0,1,1
"NW_021939798.1","LOC103760471","103760471",6,3,0,1,0,0,2,5,6,4,2,5,1.5,0.4,-2.75,3.75,0.334841628959276,1
"NW_021939798.1","XYLT2","103760472",3,17,1,7,0,1,2,6,4,25,2,6,0.16,0.333333333333333,0.52,0.48,0.591342679577974,1
"NW_021939798.1","MRPL27","103760438",0,2,0,1,0,0,1,2,0,3,1,2,0,0.5,1,0,1,1
"NW_021939798.1","EME1","103760473",2,4,2,0,0,0,7,5,4,4,7,5,1,1.4,0.285714285714286,0.714285714285714,1,1
"NW_021939798.1","LRRC59","103760474",1,3,0,2,0,0,0,0,1,5,0,0,0.2,NA,NA,NA,NA,NA
"NW_021939798.1","ACSF2","103760441",0,5,0,2,0,0,3,6,0,7,3,6,0,0.5,1,0,0.2125,1
"NW_021939798.1","CHAD","103760439",1,5,0,0,0,0,0,4,1,5,0,4,0.2,0,-Inf,Inf,1,1
"NW_021939798.1","MYCBPAP","103760476",8,4,0,1,0,0,10,6,8,5,10,6,1.6,1.66666666666667,0.04,0.96,1,1
"NW_021939798.1","EPN3","103760477",2,3,0,0,0,0,0,8,2,3,0,8,0.666666666666667,0,-Inf,Inf,0.128205128205128,1
"NW_021939798.1","SPATA20","103760442",8,11,2,3,0,0,5,7,10,14,5,7,0.714285714285714,0.714285714285714,0,1,1,1
"NW_021939798.1","CACNA1G","103760478",8,20,0,9,0,0,3,11,8,29,3,11,0.275862068965517,0.272727272727273,-0.0114942528735633,1.01149425287356,1,1
"NW_021939798.1","ABCC3","103760443",2,7,3,7,0,0,6,21,5,14,6,21,0.357142857142857,0.285714285714286,-0.25,1.25,1,1
"NW_021939798.1","ANKRD40","103760480",6,5,0,2,0,1,4,3,6,8,4,3,0.75,1.33333333333333,0.4375,0.5625,0.659442724458204,1
"NW_021939798.1","LUC7L3","103760481",0,5,0,2,0,0,0,12,0,7,0,12,0,0,NA,NA,NA,NA
"NW_021939798.1","LOC103760482","103760482",4,5,3,1,0,0,4,6,7,6,4,6,1.16666666666667,0.666666666666667,-0.75,1.75,0.680172297752053,1
"NW_021939798.1","WFIKKN2","103760444",2,4,0,1,0,0,0,3,2,5,0,3,0.4,0,-Inf,Inf,1,1
"NW_021939798.1","TOB1","103760445",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021939798.1","SPAG9","103760446",5,8,2,1,0,0,1,11,7,9,1,11,0.777777777777778,0.0909090909090909,-7.55555555555556,8.55555555555556,0.0882199925678186,1
"NW_021939798.1","LOC103760447","103760447",0,3,0,1,0,0,0,0,0,4,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","LOC103760448","103760448",0,1,0,0,0,0,0,1,0,1,0,1,0,0,NA,NA,NA,NA
"NW_021939798.1","MBTD1","103760449",1,1,0,1,0,0,0,7,1,2,0,7,0.5,0,-Inf,Inf,0.3,1
"NW_021939798.1","UTP18","103760483",3,3,1,1,0,0,0,5,4,4,0,5,1,0,-Inf,Inf,0.104895104895105,1
"NW_021939798.1","CA10","103760450",0,2,0,2,0,0,0,2,0,4,0,2,0,0,NA,NA,NA,NA
"NW_021939798.1","TOM1L1","103754893",3,5,3,1,0,0,1,1,6,6,1,1,1,1,0,1,1,1
"NW_021939798.1","LOC103754895","103754895",0,0,0,0,0,0,1,4,0,0,1,4,NA,0.25,NA,NA,NA,NA
"NW_021939798.1","STXBP4","103754888",3,14,1,3,0,0,1,7,4,17,1,7,0.235294117647059,0.142857142857143,-0.647058823529412,1.64705882352941,1,1
"NW_021939798.1","HLF","103754896",0,0,0,0,0,0,0,1,0,0,0,1,NA,0,NA,NA,NA,NA
"NW_021939798.1","MMD","103754897",1,2,0,0,0,0,1,4,1,2,1,4,0.5,0.25,-1,2,1,1
"NW_021939798.1","TMEM100","103754889",3,1,0,0,0,0,0,2,3,1,0,2,3,0,-Inf,Inf,0.4,1
"NW_021939798.1","PCTP","103754890",1,0,1,0,0,0,2,4,2,0,2,4,Inf,0.5,-Inf,Inf,0.428571428571429,1
"NW_021939798.1","LOC103754898","103754898",0,1,0,1,0,0,0,0,0,2,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","ANKFN1","115307507",6,6,0,1,0,1,3,4,6,8,3,4,0.75,0.75,0,1,1,1
"NW_021939798.1","NOG","103754891",0,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","CUNH17orf67","103754892",0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"NW_021939798.1","DGKE","103754899",1,7,0,2,0,0,0,4,1,9,0,4,0.111111111111111,0,-Inf,Inf,1,1
"NW_021939798.1","LOC103754900","103754900",0,1,0,0,0,0,1,1,0,1,1,1,0,1,1,0,1,1
"NW_021939798.1","TRIM25","103754901",2,6,1,1,0,0,7,5,3,7,7,5,0.428571428571429,1.4,0.693877551020408,0.306122448979592,0.230531078828293,1
"NW_021939798.1","COIL","103754902",8,6,0,1,0,0,17,11,8,7,17,11,1.14285714285714,1.54545454545455,0.260504201680672,0.739495798319328,0.749718715906331,1
"NW_021939798.1","SCPEP1","103754903",2,9,2,1,0,0,0,3,4,10,0,3,0.4,0,-Inf,Inf,0.541176470588235,1
"NW_021939798.1","RAB11FIP4","103754904",0,2,1,0,0,0,0,2,1,2,0,2,0.5,0,-Inf,Inf,1,1
"NW_021939798.1","COPRS","103760036",1,0,0,0,0,0,9,6,1,0,9,6,Inf,1.5,-Inf,Inf,1,1
"NW_021939798.1","UTP6","103760027",4,4,4,1,0,0,1,5,8,5,1,5,1.6,0.2,-7,8,0.140866873065015,1
"NW_021939798.1","SUZ12","103759908",0,4,2,1,0,0,0,8,2,5,0,8,0.4,0,-Inf,Inf,0.2,1
"NW_021939798.1","CRLF3","103760018",1,3,0,1,0,0,3,7,1,4,3,7,0.25,0.428571428571429,0.416666666666667,0.583333333333333,1,1
"NW_021939798.1","ATAD5","103760009",26,14,2,7,0,0,25,27,28,21,25,27,1.33333333333333,0.925925925925926,-0.44,1.44,0.427079830513215,1
"NW_021939798.1","ADAP2","103759998",2,2,0,2,0,0,2,6,2,4,2,6,0.5,0.333333333333333,-0.5,1.5,1,1
"NW_021939798.1","RNF135","103759988",6,2,2,3,0,0,4,3,8,5,4,3,1.6,1.33333333333333,-0.2,1.2,1,1
"NW_021939798.1","RHOT1","103759884",0,4,0,1,0,0,1,8,0,5,1,8,0,0.125,1,0,1,1
"NW_021939798.1","RHBDL3","103759979",4,5,0,0,0,0,1,3,4,5,1,3,0.8,0.333333333333333,-1.4,2.4,1,1
"NW_021939798.1","CUNH17orf75","103759970",2,7,1,1,0,0,0,7,3,8,0,7,0.375,0,-Inf,Inf,0.245098039215686,1
"NW_021939798.1","ZNF207","103759960",1,2,0,0,0,0,1,8,1,2,1,8,0.5,0.125,-3,4,0.454545454545454,1
"NW_021939798.1","LOC103759950","103759950",3,5,0,4,0,0,14,23,3,9,14,23,0.333333333333333,0.608695652173913,0.452380952380952,0.547619047619048,0.502930690920768,1
"NW_021939798.1","ERN1","103759875",3,11,2,7,0,1,2,8,5,19,2,8,0.263157894736842,0.25,-0.0526315789473684,1.05263157894737,1,1
"NW_021939798.1","TEX2","103759864",4,9,0,4,0,0,5,9,4,13,5,9,0.307692307692308,0.555555555555556,0.446153846153846,0.553846153846154,0.69274975415518,1
"NW_021939798.1","PECAM1","103759853",6,10,2,3,0,0,11,3,8,13,11,3,0.615384615384615,3.66666666666667,0.832167832167832,0.167832167832168,0.0363850332898067,1
"NW_021939798.1","MILR1","103759941",3,0,1,1,0,0,4,3,4,1,4,3,4,1.33333333333333,-2,3,0.575757575757576,1
"NW_021939798.1","POLG2","103759930",1,5,0,1,0,1,5,2,1,7,5,2,0.142857142857143,2.5,0.942857142857143,0.0571428571428571,0.0405594405594406,1
"NW_021939798.1","DDX5","103759919",0,2,0,1,0,0,0,6,0,3,0,6,0,0,NA,NA,NA,NA
"NW_021939798.1","CEP95","103755901",8,7,2,2,0,0,9,7,10,9,9,7,1.11111111111111,1.28571428571429,0.135802469135803,0.864197530864197,1,1
"NW_021939798.1","SMURF2","103755900",0,8,0,3,0,0,3,8,0,11,3,8,0,0.375,1,0,0.214285714285714,1
"NW_021939798.1","KPNA2","103755829",2,3,0,2,0,0,2,6,2,5,2,6,0.4,0.333333333333333,-0.2,1.2,1,1
"NW_021939798.1","CUNH17orf58","103755828",7,5,2,0,0,0,5,2,9,5,5,2,1.8,2.5,0.28,0.72,1,1
"NW_021939798.1","BPTF","103755899",9,10,2,2,0,0,6,17,11,12,6,17,0.916666666666667,0.352941176470588,-1.59722222222222,2.59722222222222,0.22140090065364,1
"NW_021939798.1","NOL11","103755898",0,8,0,1,0,0,5,5,0,9,5,5,0,1,1,0,0.0325077399380805,1
"NW_021939798.1","PITPNC1","103755826",0,4,0,0,0,0,0,3,0,4,0,3,0,0,NA,NA,NA,NA
"NW_021939798.1","PSMD12","103755897",1,3,0,1,0,0,0,1,1,4,0,1,0.25,0,-Inf,Inf,1,1
"NW_021939798.1","HELZ","103755825",2,12,0,4,0,0,2,10,2,16,2,10,0.125,0.2,0.375,0.625,1,1
"NW_021939798.1","CACNG1","103755824",3,2,0,0,0,0,1,3,3,2,1,3,1.5,0.333333333333333,-3.5,4.5,0.523809523809524,1
"NW_021939798.1","CACNG4","103755896",1,2,0,0,0,0,0,1,1,2,0,1,0.5,0,-Inf,Inf,1,1
"NW_021939798.1","CACNG5","103755823",1,2,0,0,0,0,0,3,1,2,0,3,0.5,0,-Inf,Inf,1,1
"NW_021939798.1","PRKCA","103755895",0,7,0,3,0,0,0,6,0,10,0,6,0,0,NA,NA,NA,NA
"NW_021939798.1","APOH","103755822",0,6,0,3,0,0,1,3,0,9,1,3,0,0.333333333333333,1,0,0.307692307692308,1
"NW_021939798.1","LOC115307506","115307506",5,5,0,1,0,0,7,1,5,6,7,1,0.833333333333333,7,0.880952380952381,0.119047619047619,0.14729697547035,1
"NW_021939798.1","LOC103755821","103755821",0,1,0,2,0,0,5,6,0,3,5,6,0,0.833333333333333,1,0,0.258241758241758,1
"NW_021939798.1","LOC115307508","115307508",0,3,0,0,0,0,0,1,0,3,0,1,0,0,NA,NA,NA,NA
"NW_021939798.1","AXIN2","103755893",2,8,1,1,0,0,0,1,3,9,0,1,0.333333333333333,0,-Inf,Inf,1,1
"NW_021939798.1","RGS9","103755892",0,2,0,1,0,0,0,0,0,3,0,0,0,NA,NA,NA,NA,NA
"NW_021939798.1","GNA13","103755891",1,2,0,0,0,0,0,2,1,2,0,2,0.5,0,-Inf,Inf,1,1
"NW_021939798.1","SLC16A6","103755820",1,0,0,0,0,0,0,5,1,0,0,5,Inf,0,-Inf,Inf,0.166666666666667,1
"NW_021939798.1","ARSG","103755890",5,4,6,1,0,1,7,5,11,6,7,5,1.83333333333333,1.4,-0.30952380952381,1.30952380952381,1,1
"NW_021939798.1","WIPI1","103755889",1,2,0,4,0,0,0,4,1,6,0,4,0.166666666666667,0,-Inf,Inf,1,1
"NW_021939798.1","PRKAR1A","103755819",1,1,0,1,0,0,0,0,1,2,0,0,0.5,NA,NA,NA,NA,NA
"NW_021939798.1","FAM20A","103755888",1,4,0,1,0,0,0,2,1,5,0,2,0.2,0,-Inf,Inf,1,1
"NW_021939798.1","LOC103755887","103755887",10,28,0,6,0,0,11,21,10,34,11,21,0.294117647058824,0.523809523809524,0.438502673796791,0.561497326203209,0.305287742463702,1
"NW_021939798.1","LOC103755886","103755886",11,23,2,5,0,0,26,17,13,28,26,17,0.464285714285714,1.52941176470588,0.696428571428571,0.303571428571429,0.00962682165537262,1
"NW_021939798.1","ABCA5","103755818",6,23,0,5,0,3,0,5,6,31,0,5,0.193548387096774,0,-Inf,Inf,1,1
"NW_021939798.1","MAP2K6","103755885",1,3,0,2,0,0,1,7,1,5,1,7,0.2,0.142857142857143,-0.4,1.4,1,1
